metric,unit,U-Net base_mean,U-Net base_std,U-Net base_ci95_hw,U-Net geom_mean,U-Net geom_std,U-Net geom_ci95_hw,DoseGAN base_mean,DoseGAN base_std,DoseGAN base_ci95_hw,DoseGAN geom_mean,DoseGAN geom_std,DoseGAN geom_ci95_hw,section
Rectum D0.1cc |err|,Gy,1.287526863462525,0.9626656116936899,1.1953072323488616,0.4770943073553758,0.32829399922893115,0.4076308396688989,0.34974837615639137,0.10180882499897084,0.1264123527006497,0.47910507947857506,0.21028260397419743,0.2611003388033012,2a. DVH accuracy (mean |error|)
Rectum V_Rx |err|,%,0.8474708178359069,0.18541410518690168,0.23022201916974205,1.1102049111813435,0.2929116937046501,0.36369790472595287,0.7087662780747467,0.14682712786686994,0.1823099586319534,0.7896819146052464,0.06099859809965877,0.07573976320124698,2a. DVH accuracy (mean |error|)
Bladder Dmean |err|,Gy,0.7630398465544592,0.04920678650077287,0.06109829526530876,0.7615379870621992,0.04060297357701395,0.05041525051059703,0.7938829076947747,0.07755053412379682,0.09629170626299119,0.783636140779229,0.09183981752190966,0.11403419501855867,2a. DVH accuracy (mean |error|)
Bladder D0.1cc |err|,Gy,1.5882453117667192,0.9620064819697985,1.1944888147005597,0.5615475385906696,0.20736294620763554,0.2574751048674853,0.6615223693565191,0.20330566442715445,0.25243732415009384,0.7903157930116395,0.18294394902219327,0.22715491519008255,2a. DVH accuracy (mean |error|)
Bladder V_Rx |err|,%,0.6597380481974549,0.1431703548914927,0.17776947527882303,0.7065501878648727,0.07485266884743787,0.09294186407733222,0.6784367840614008,0.03359894623219947,0.041718601914106174,0.8071332179536175,0.262660106656577,0.3261355981998332,2a. DVH accuracy (mean |error|)
PTV D95 bias,Gy,-0.04060375152892953,0.0952663794069381,0.11828883354881574,-0.008011343460619685,0.07928737784846733,0.09844828258642069,0.1522062905405857,0.08206970758013947,0.10190300124536993,0.046660342281811866,0.18982901719464254,0.23570385646499137,2b. DVH bias (mean signed error)
PTV D98 bias,Gy,0.007319536883492949,0.08995561700585425,0.11169465107237572,0.018457977933294026,0.03327631843589201,0.04131800659461138,0.23921984291570975,0.06488541591470952,0.08056588494977251,0.12406596268869603,0.2042512857516353,0.2536114681046355,2b. DVH bias (mean signed error)
PTV Dmean bias,Gy,0.12027226475952554,0.12112983992529557,0.15040256134342472,0.10720727264505985,0.18838051370916611,0.23390530183580263,-0.04141849516409936,0.1635672731712266,0.20309559438107289,-0.20025104747265193,0.22900637554201425,0.2843489718696507,2b. DVH bias (mean signed error)
PTV D0.1cc bias,Gy,1.6988236202393936,1.1475963301628664,1.4249290476339944,0.4240173546043602,0.47012358372242574,0.5837355286146703,-0.7633384862770553,0.3150968324403546,0.39124439278923295,-1.024985137792571,0.19324976554347362,0.23995127653664994,2b. DVH bias (mean signed error)
Rectum Dmean bias,Gy,0.012103805979813788,0.07212218184713413,0.08955151667149168,0.09369877787353109,0.12008799535679988,0.14910894045099948,-0.054266847217140354,0.2503082808212916,0.31079878074807604,-0.056860391107677134,0.3598718112930546,0.4468398720509656,2b. DVH bias (mean signed error)
Rectum D0.1cc bias,Gy,1.2467470983274331,1.0212910635455719,1.2681003452917716,0.3278547433163227,0.42535894473997654,0.5281528879975742,-0.24167884662830136,0.13914815146707007,0.17277525009326553,-0.4211988814183404,0.2719789390866416,0.3377064569335381,2b. DVH bias (mean signed error)
Rectum V_Rx bias,%,-0.44329743468795063,0.33578659089687823,0.4169341209962303,-0.7546309553638364,0.37682040492525637,0.46788433058425605,-0.06841864332871533,0.2863024987268922,0.3554915052649617,-0.17203091545645374,0.5523042364057218,0.6857762864004068,2b. DVH bias (mean signed error)
Bladder Dmean bias,Gy,0.00898734510761418,0.11285464537167722,0.14012755018806491,-0.07053617291519351,0.12565414678559067,0.15602023028867945,-0.12558411659465282,0.24208376787973857,0.3005866991257887,0.06176803812897678,0.24810235398580546,0.3080597608137814,2b. DVH bias (mean signed error)
Bladder D0.1cc bias,Gy,1.532338968959838,1.060444446307303,1.3167156910749054,0.3521640979550759,0.36324293002815633,0.4510256688180116,-0.6160741579351668,0.20595516624304255,0.25572711516805763,-0.7574751792153531,0.2091764413217263,0.25972685646157023,2b. DVH bias (mean signed error)
Bladder V_Rx bias,%,-0.17972199911264725,0.24538500236695132,0.3046857231381895,-0.0177837753714044,0.42764851675846327,0.5309957671442239,-0.05553615154837181,0.17819524822794156,0.22125862437561852,-0.5542520864160217,0.44824298568969867,0.5565671777782649,2b. DVH bias (mean signed error)
PTV boundary MAE,Gy,1.60741667457529,0.03650844919451886,0.045331226995085364,1.619033955627351,0.07732454903833422,0.09601110871824127,1.6993512745126007,0.026041698009726586,0.03233503887077218,1.6456294068492194,0.06195110395541543,0.0769224554304183,3. Spatial boundary quality
Rectum boundary MAE,Gy,1.3584023876924598,0.03221121285563225,0.0399955033413169,1.4059812936417397,0.08527177218785054,0.10587888958868723,1.4833980158230677,0.06501874210939922,0.08073143128573622,1.4531177146396828,0.041965676045597915,0.05210726910610114,3. Spatial boundary quality
Bladder boundary MAE,Gy,1.1005564478140148,0.03341864795647854,0.04149473203620527,1.1206939189291054,0.04778040799272149,0.05932721242404977,1.220532809200661,0.07802446942782076,0.09688017466747548,1.1597712636920796,0.05352712540865008,0.06646270454725887,3. Spatial boundary quality
Dice 100% iso,,0.959733211246078,0.0029846074184612416,0.0037058795802752073,0.9581266430792527,0.004114095545702366,0.0051083243242691055,0.9653192347578463,0.0014033377993959274,0.0017424740228284225,0.964441815729718,0.002122242563764494,0.0026351121868820335,3. Spatial boundary quality
Dice 95% iso,,0.965927231818914,0.0012818339114346183,0.0015916070195050808,0.9640282105650073,0.002909897624426299,0.0036131151187088002,0.9675656663008982,0.0007761501474298489,0.000963717695264189,0.9674081976438895,0.0011467717369168283,0.001423905179887227,3. Spatial boundary quality
Dice 80% iso,,0.9536113280464914,0.0009108187575161512,0.0011309308600964913,0.9536810061111931,0.0017273582913443677,0.002144798602361074,0.9511435946696827,0.0009239776034703657,0.0011472697253757486,0.9509084565416721,0.001990414736438943,0.002471426319730474,3. Spatial boundary quality
Dice 50% iso,,0.8852325046406186,0.0026375097699263186,0.003274900926228209,0.8878208788424707,0.0033015334184949723,0.004099395184611816,0.8785542271043966,0.00781391105550123,0.00970225204278227,0.8855289039283335,0.0060251537662430995,0.0074812165151858885,3. Spatial boundary quality
HD95 100% iso,mm,2.526343893560827,1.245431420331069,1.5464073568568708,1.9261444284176132,0.1677017913463446,0.20822927674903607,1.6791116214697142,0.05555866921427077,0.06898519935147196,1.7095915304598204,0.08924136455398575,0.11080778951726183,3. Spatial boundary quality
Outside-body leak,Gy,40.167374911938545,0.4452832188230739,0.5528921418169006,41.00725959698742,1.506022449460705,1.869973855982009,3.6032214710333754,7.9542373646677955,9.876490168875206,5.5837215635846915,5.8172545834029945,7.223075584597348,3. Spatial boundary quality
Leakage vol frac,,0.9267866852500749,0.008686969429113905,0.010786297193627463,0.9499860814090919,0.01815384614301091,0.02254097718470695,0.20047022249371796,0.4351188366947229,0.5402713944641414,0.5934192550971356,0.5366039151236395,0.6662817627042127,3. Spatial boundary quality
