comparison,description,metric,lower_is_better,n_patients,mean_diff,std_diff,ci_lo_95,ci_hi_95,cohens_dz,shapiro_p,t_stat,t_pvalue,t_pvalue_fdr,wilcoxon_p,wilcoxon_p_fdr,pct_A_wins
model_base,DoseGAN baseline − U-Net baseline,bladder_MAE_Gy,True,367,0.1621,0.357,0.126,0.1988,0.454,0.0,8.698,0.0,0.0,0.0,0.0,28.9
model_base,DoseGAN baseline − U-Net baseline,boundary_MAE_ptv_Gy,True,367,0.0917,0.1887,0.0728,0.111,0.486,0.7703,9.307,0.0,0.0,0.0,0.0,31.6
model_base,DoseGAN baseline − U-Net baseline,boundary_MAE_rectum_Gy,True,367,0.1248,0.2365,0.101,0.1493,0.528,0.0057,10.108,0.0,0.0,0.0,0.0,23.7
model_base,DoseGAN baseline − U-Net baseline,boundary_MAE_bladder_Gy,True,367,0.1197,0.202,0.099,0.1402,0.592,0.0025,11.347,0.0,0.0,0.0,0.0,27.0
model_base,DoseGAN baseline − U-Net baseline,ptv_D95_diff,True,367,0.1926,0.2127,0.1713,0.2149,0.906,0.0067,17.355,0.0,0.0,0.0,0.0,16.6
model_base,DoseGAN baseline − U-Net baseline,abs_ptv_D95_diff,True,367,0.0343,0.2217,0.0115,0.0566,0.155,0.0125,2.962,0.0033,0.0042,0.0031,0.0037,44.7
model_base,DoseGAN baseline − U-Net baseline,ptv_Dmean_diff,True,367,-0.1622,0.1581,-0.178,-0.1453,-1.026,0.0,-19.662,0.0,0.0,0.0,0.0,85.6
model_base,DoseGAN baseline − U-Net baseline,abs_ptv_Dmean_diff,True,367,0.0266,0.1711,0.0088,0.0437,0.155,0.0,2.973,0.0031,0.0042,0.0009,0.0011,35.4
model_base,DoseGAN baseline − U-Net baseline,rectum_Dmean_diff,True,367,-0.0677,0.6387,-0.1342,-0.0018,-0.106,0.1514,-2.03,0.0431,0.0482,0.0557,0.0623,51.2
model_base,DoseGAN baseline − U-Net baseline,abs_rectum_Dmean_diff,True,367,0.0636,0.5629,0.0051,0.1233,0.113,0.0438,2.164,0.0311,0.0369,0.0812,0.0857,46.6
